GENESIS-Tabelle: 13211-0008
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;
Bundesländer, Monate;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;;Anzahl;Prozent;Prozent;Anzahl
Baden-Württemberg;2015;Januar;243032;4,2;4,6;70342
Baden-Württemberg;2015;Februar;240223;4,1;4,6;75239
Baden-Württemberg;2015;März;233766;4,0;4,5;77742
Baden-Württemberg;2015;April;228425;3,9;4,4;79661
Baden-Württemberg;2015;Mai;223254;3,8;4,2;80646
Baden-Württemberg;2015;Juni;219002;3,7;4,1;82884
Baden-Württemberg;2015;Juli;224016;3,8;4,2;85519
Baden-Württemberg;2015;August;234156;3,9;4,4;87289
Baden-Württemberg;2015;September;225934;3,8;4,2;86815
Baden-Württemberg;2015;Oktober;218028;3,7;4,1;86830
Baden-Württemberg;2015;November;216251;3,6;4,0;86973
Baden-Württemberg;2015;Dezember;219094;3,7;4,1;84166
Baden-Württemberg;2016;Januar;240645;4,0;4,5;81203
Baden-Württemberg;2016;Februar;238340;4,0;4,5;86026
Baden-Württemberg;2016;März;233955;3,9;4,4;89053
Baden-Württemberg;2016;April;228190;3,8;4,3;90260
Baden-Württemberg;2016;Mai;223171;3,7;4,1;92426
Baden-Württemberg;2016;Juni;220028;3,7;4,1;94269
Baden-Württemberg;2016;Juli;223028;3,7;4,1;96213
Baden-Württemberg;2016;August;234449;3,9;4,3;97924
Baden-Württemberg;2016;September;226097;3,8;4,2;97252
Baden-Württemberg;2016;Oktober;217228;3,6;4,0;96756
Baden-Württemberg;2016;November;216025;3,6;4,0;95121
Baden-Württemberg;2016;Dezember;...;...;...;...
Bayern;2015;Januar;300096;4,3;4,9;74008
Bayern;2015;Februar;297637;4,2;4,8;79889
Bayern;2015;März;281105;4,0;4,5;83527
Bayern;2015;April;259596;3,7;4,2;85518
Bayern;2015;Mai;246308;3,5;3,9;85290
Bayern;2015;Juni;238822;3,4;3,8;88012
Bayern;2015;Juli;243724;3,4;3,9;91650
Bayern;2015;August;253525;3,6;4,0;92737
Bayern;2015;September;248851;3,5;3,9;93992
Bayern;2015;Oktober;232276;3,3;3,7;94615
Bayern;2015;November;233734;3,3;3,7;93363
Bayern;2015;Dezember;242646;3,4;3,8;90807
Bayern;2016;Januar;290827;4,1;4,6;89516
Bayern;2016;Februar;288843;4,1;4,6;95289
Bayern;2016;März;275251;3,9;4,4;97927
Bayern;2016;April;253883;3,6;4,0;98958
Bayern;2016;Mai;242230;3,4;3,8;105372
Bayern;2016;Juni;233918;3,2;3,6;104631
Bayern;2016;Juli;236390;3,3;3,7;107516
Bayern;2016;August;249533;3,5;3,9;110242
Bayern;2016;September;245635;3,4;3,8;111143
Bayern;2016;Oktober;228125;3,2;3,6;110497
Bayern;2016;November;228318;3,2;3,6;109639
Bayern;2016;Dezember;...;...;...;...
Berlin;2015;Januar;207079;11,3;13,4;20603
Berlin;2015;Februar;205079;11,2;13,3;20995
Berlin;2015;März;202253;11,0;13,1;21261
Berlin;2015;April;200977;11,0;13,0;20148
Berlin;2015;Mai;196353;10,8;12,6;20021
Berlin;2015;Juni;191613;10,5;12,3;21305
Berlin;2015;Juli;195632;10,7;12,6;22760
Berlin;2015;August;195823;10,7;12,6;22619
Berlin;2015;September;189610;10,4;12,2;23367
Berlin;2015;Oktober;186671;10,2;12,0;26153
Berlin;2015;November;182388;10,0;11,7;25591
Berlin;2015;Dezember;184267;10,1;11,9;25090
Berlin;2016;Januar;195783;10,7;12,6;24895
Berlin;2016;Februar;193701;10,6;12,5;25506
Berlin;2016;März;190467;10,4;12,3;26141
Berlin;2016;April;186426;10,2;12,0;25114
Berlin;2016;Mai;181166;9,7;11,4;23974
Berlin;2016;Juni;176834;9,5;11,1;24360
Berlin;2016;Juli;176762;9,5;11,1;24325
Berlin;2016;August;180252;9,7;11,3;25306
Berlin;2016;September;175344;9,4;11,0;25698
Berlin;2016;Oktober;172006;9,2;10,8;26075
Berlin;2016;November;170874;9,2;10,7;27467
Berlin;2016;Dezember;...;...;...;...
Brandenburg;2015;Januar;131125;9,9;11,0;12096
Brandenburg;2015;Februar;129652;9,8;10,9;13512
